City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
255,Half Moon Bay,US,2022-05-06 22:24:04,37.4636,-122.4286,76.78,78,100,19.57,mist
256,Kaeo,NZ,2022-05-06 22:24:56,-35.1,173.7833,64.33,90,3,5.7,clear sky
257,Ilulissat,GL,2022-05-06 22:21:25,69.2167,-51.1,21.45,80,8,5.28,clear sky
258,Saint Augustine,US,2022-05-06 22:24:57,29.8947,-81.3145,88.02,51,0,14.97,clear sky
259,Mathbaria,BD,2022-05-06 22:24:58,22.2876,89.9593,78.98,86,6,3.62,clear sky
260,Baculin,PH,2022-05-06 22:24:58,7.4525,126.5842,78.91,87,35,6.51,scattered clouds
261,Polunochnoye,RU,2022-05-06 22:24:59,60.8697,60.4153,23.0,86,20,2.82,few clouds
262,Usinsk,RU,2022-05-06 22:24:18,65.9939,57.5281,23.45,83,94,11.7,overcast clouds
263,Tucuman,AR,2022-05-06 22:24:38,-26.8241,-65.2226,64.4,72,98,5.75,overcast clouds
264,Bilma,NE,2022-05-06 22:25:00,18.6853,12.9164,92.44,11,56,8.16,broken clouds
265,Silifke,TR,2022-05-06 22:25:00,36.3778,33.9344,62.8,51,50,19.01,scattered clouds
266,Qujing,CN,2022-05-06 22:25:01,25.4833,103.7833,53.56,87,8,2.13,clear sky
267,Pudozh,RU,2022-05-06 22:25:01,61.8099,36.5345,41.23,92,41,6.58,scattered clouds
268,Mbandaka,CD,2022-05-06 22:25:02,0.0487,18.2603,71.6,91,100,3.31,overcast clouds
269,Kodiak,US,2022-05-06 22:23:52,57.79,-152.4072,45.91,76,100,11.5,light rain
270,Dehra Dun,IN,2022-05-06 22:24:46,30.3167,78.0333,72.9,38,0,6.26,clear sky
271,Temba,ZA,2022-05-06 22:25:03,-25.3803,28.2631,55.42,46,0,0.65,clear sky
272,Abidjan,CI,2022-05-06 22:24:56,5.3094,-4.0197,80.2,84,99,19.82,heavy intensity rain
273,Huntingdon,GB,2022-05-06 22:24:53,52.3305,-0.1865,57.9,80,100,7.85,overcast clouds
274,Wajir,KE,2022-05-06 22:25:03,1.7471,40.0573,77.34,75,77,13.58,broken clouds
275,Anshun,CN,2022-05-06 22:25:04,26.25,105.9333,59.16,97,100,1.66,overcast clouds
276,Necochea,AR,2022-05-06 22:25:04,-38.5473,-58.7368,57.87,74,28,4.16,scattered clouds
277,Ukiah,US,2022-05-06 22:25:05,39.1502,-123.2078,68.43,64,100,4.61,overcast clouds
278,Dandong,CN,2022-05-06 22:25:05,40.1292,124.3947,48.24,48,25,8.1,scattered clouds
279,Punta Alta,AR,2022-05-06 22:21:46,-38.8759,-62.0736,62.11,53,9,3.76,clear sky
280,Grants,US,2022-05-06 22:23:43,35.1473,-107.8514,80.83,7,0,12.66,clear sky
281,La Macarena,CO,2022-05-06 22:25:06,2.1837,-73.7849,79.99,74,58,3.65,broken clouds
282,Waterloo,CA,2022-05-06 22:24:57,43.4668,-80.5164,59.49,48,75,16.11,broken clouds
283,Faya,SA,2022-05-06 22:25:07,18.3851,42.4509,66.31,62,1,2.19,clear sky
